sequence,Restaurant_Name,Place_ID,Address,Category,"AI_Summary
_Pros",AI_Summary_Cons,Must_Try_Dishes,"Kaki_Maka
n_Tip
(Where the
Soul Is)",Status
9814,Kopitiam LCL 99,ChIJRULADABJzDERYicOJbwrAe0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9815,Ayam Geprek Berapi,ChIJa2Cp-bVLzDEREMGlIfqpW8A,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9816,NakNak,ChIJSR3c2e9JzDER_liATyk8C4Q,EG002A,Restaurant,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
9817,Dubuyo,ChIJ7cYOQ_hLzDERQ5UafHTSUy8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9818,PUTIEN,ChIJp6vJMXBLzDERRHY-J9XhY8w,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9819,Boat Noodle,ChIJ0dDG0o9JzDERdOKv1wpnG4o,,Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
9820,Sushi King,ChIJH07wKW9LzDERMLPb5NQghos,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9821,Esquire Kitchen,ChIJixfh-49KzDERwAuo78l4dzQ,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9822,Sushi Mentai,ChIJr4P2FvVKzDERfwRgTGo7EXg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9823,U-Village,ChIJKzuzFyk2zDERdTmjtwsk3Ho,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9824,Char Koew Tiaw Kahwin Dua,ChIJtU3LTMRTzDERsQ6hilLx8ZQ,"1, Jalan Niaga Bestari 3",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9825,Melior,ChIJF6DUVJJMzDERCA94QLnjCT0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9826,Pak Abu,ChIJJ_nGbQyvzTER0qcS4GQEdAw,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9827,Anachak Lanna Thai Cuisine,ChIJC4jZ6cbFSjARfuxU04a9PO8,"7078, Jalan Kampung Gajah, Butterworth, 12200",Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
9828,Academia Cafe & Bistro,ChIJ82Q6h0FLzDERiAHQ5DyLVhQ,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
9829,Selera Asam Pedas,ChIJz9re3-bx0TERknNIr6w_oYo,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9830,Nasi Kandar LC,ChIJZ9diOyFIzDERX1WtrSx4768,170,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9831,Sushi Zanmai,ChIJWbCoEudJHzIR2l0X5gwTA5M,"A-G-28, Miri, 98000",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9832,Pizza Hut,ChIJ4UByWkNLzDERuaAb4h6k0MQ,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9833,Singapore Nasi Lemak,ChIJn6x_KQ1OHzIRvWK_FwttiMU,"7957, Miri, 98000",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9834,Restoran Al-Asna Sdn Bhd,ChIJ1zt8-idPHzIRdCqLRdMxsnw,"5588-5589, Miri, 98000",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
9835,Fratini's Restaurant,ChIJrRpIpOdOHzIRdbAw0RH_bWI,"2512-2513, Jalan Boulevard 3, Miri, 98000",Western Restaurant,,,"Pizza, Pasta, Risotto, Gelato",Unique dining experience worth exploring!,Processed
9836,Feed Me Cafe & Restaurant,ChIJ6bIedlVPHzIR2t_qpTjiA3o,"3528, Lorong Aster 1G, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9837,Sushi Mentai,ChIJ68AiRotPHzIR6KjPIBELApk,"3526-3527, Lorong Aster 1G, Miri, 98000",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9838,Tremendous Cafe,ChIJsyGjn5iPIjIRSJ_7VLXnDzs,"3550, Lorong Aster 1C, Miri, 98000",Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
9839,Aoki Japanese Restaurant,ChIJx4BB_t1OHzIRWxx-s2sOt-8,"2945, Lorong Caltha, Miri, 98000",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9840,Restoran Shaaz,ChIJm83Z145MzDEROJYz4glsM-8,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9841,Restoran Al-Shariff,ChIJ8ZLoL5Y3zDERJAJZUUvUttc,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9842,Wara Wara JP Izakaya,ChIJaQMrNyin-zERVCJyTR81n-k,,Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9843,Woodfire Jotic,ChIJqx2v_g1t2jERhJ_EhrB67V0,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9844,Wang Xiang Noodle,ChIJPZRWUchIHzIRdr3jQlf3jcU,"2009, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9845,Avocbar,ChIJrYr6bSNJHzIRHTOFWAkdSx0,"2048, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9846,Wok n Roll (est. 2022),ChIJ4b_8cExJHzIR7otI-hLJAaE,"2036, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9847,Awang Mahyan Cafe,ChIJKe7C2EhIHzIRPaGQqsWeHHs,"8865, Jalan Miri-Bintulu, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9848,Restaurant Aseanika Catering,ChIJVWsILelOHzIRaxnLx7Gzf7U,"8864, Jalan Miri-Bintulu, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9849,Sabah Fish House,ChIJRQopnE1JHzIRagiN9fYRsLc,"9530, Jalan Cahaya, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9850,Sentral Kafe,ChIJ8xEKzkdJHzIRNpuUYEcyg5Q,"9590, Jalan Miri Bypass, Miri, 98000",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9851,Kitos 2.0 Cafe (est. 2019),ChIJ8ZqagopJHzIR-GBs7F7ZVUw,"9610, Jalan Miri By Pass, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9852,Yong Lee Seafood,ChIJLeTpYjjMzTERiFk_UnKskBE,,Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9853,IPO (I Prefer Original),ChIJf1SbAcZIHzIR6wTEFK7fILc,"1395, Jalan Kubu, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9854,Banana Leaf Rice Restaurant,ChIJ39ZrbM9IHzIRCcCaC89cEqQ,"1396, Jalan Kubu, Miri, 98000",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
9855,bb.q Chicken,ChIJ2zlCVMdPHzIRkBoz2pyDQi4,"A-G-27, Miri, 98000",Restaurant,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
9856,X.Street Cafe & Dine,ChIJR6hh3JxJHzIRmwpdbd_I_qE,"A-G-01, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9857,Warong Tokwan Ayam Kampung,ChIJb8GNkViztjEREJC4_NM7Kys,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9858,Restoran Haji Ali Nasi Kandar Asli,ChIJQ2xvDddLzDERVQk2z8G8WlA,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9859,Nando's,ChIJSdDYJHxPHzIRJ8bLuYwPvSs,"G.45-46, Jalan Miri-Pujut, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9860,Sushi King,ChIJMeyKdytPHzIRl32Da9SP74Y,"G.65, Jalan Miri-Pujut, Miri, 98000",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9861,Kenny Rogers Roasters,ChIJlX8t3S1PHzIR1mdyKB9yMxQ,"G.66B-67, Jalan Miri-Pujut, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9862,Sushi King,ChIJ63hp5y1PHzIRX-GXvKYHtHw,"GF.1A-1B, Jalan Merpati, Miri, 98000",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9863,Burger FM Cafe,ChIJ-f_vdSxPHzIRhjTblqDqZQw,"808, Jalan Bintang Jaya 2, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9864,Mee Udang Lemal (House Patin Tempoyak),ChIJiSXUM9emtjERZiUvkzcgCgs,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9865,Nasi Paku Ayam Kampung (Cawangan Berek 12),ChIJq_ZGm9ivtjERsbHkkW-kiAE,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9866,Hua Kiew Cafe,ChIJrdFJZh1PHzIRKo7_iaghGZo,"912, Jalan Lee Tak, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9867,Corner Food and Drink Centre,ChIJhRc1Yr1PHzIR--Tmy5k7f_4,"1052, Jalan Bintang Jaya 1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9868,88 New Tanjung Seafood Restaurant,ChIJK-1h6bxJHzIRRq_wubcB04Y,"724-726, Jalan Temenggong Oyong Lawai Jau, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9869,Someday By SuXin Vegetarian Restaurant,ChIJCfFtezVv2jERETvn5vNZhKM,"110, Jalan Tanjong 2, 81800",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9870,Riam Willow Cafe,ChIJhwU6zk9IHzIRAnmyVrNqzpg,"2568, Jalan Riam Willow 1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9871,Jindy Vietname House,ChIJH0t-4dNPHzIRlm6pAKvERV0,"814, Jalan Bintang Jaya Utama, Miri",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9872,Awang Mahyan Cafe,ChIJV3uUgixPHzIRmp99yWSrRP0,"1070, Jalan Bintang Jaya 1, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9873,How Kee Soy Duck,ChIJJzq7DwRPHzIRRGjQSqsLsM4,"1072-1073, Jalan Bintang Jaya 1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9874,Little Sheep,ChIJT1aiB9lPHzIR5tsc_SGdFv4,"1074, Jalan Bintang Jaya 1, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9875,Sawasdee THAI Cuisine,ChIJE3FCawBPHzIRD750NA0VhMA,"769, Jalan Bintang Jaya Utama, Miri, 98000",Asian Restaurant,,,"Pad Thai, Tom Yum, Green Curry, Mango Sticky Rice",Unique dining experience worth exploring!,Processed
9876,The Kitchen BBQ & Steamboat,ChIJYyoRdbZPHzIRgqt66XFvJwA,"1062-1063, Jalan Bintang Jaya 1, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9877,Love u u Corner,ChIJXWhLealPHzIRZd235fWGCwQ,"2135, Jalan Yakin, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9878,Surabaya Restaurant,ChIJCeGFHs1IHzIR-u5LZrNk-NA,"7965, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9879,Curry House,ChIJiUMD6CNIHzIRy7T7BFLvoGo,"6122, Miri, 98000",Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
9880,Freeman & Taige Kitchen,ChIJr70uux9PHzIRN4xnJYTZef0,"8685, Miri, 98000",Western Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Fresh seafood prepared with local cooking styles - must try!,Processed
9881,7 Days Seafood,ChIJ6-JBW21OHzIRg-ztLXbSt2Q,"5616, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9882,Bornean Recipe,ChIJTRyvYABPHzIR_wc-m0n72kU,"2129, Jalan Merbau, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9883,Restoran Muara,ChIJewKznzJPHzIRRVe64gZ7W0E,"1825, Jalan North Yu Seng, Miri",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9884,The Bonzer Restaurant,ChIJZW0-gzJPHzIRTeXh0we6Ea8,"826, Jalan North Yu Seng, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9885,Ah Tai Fish Head,ChIJQ_JoHM9IHzIRlkAGWRu_fEg,"711, Jalan Pakis, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9886,Marina Brauhaus,ChIJxbSQaXZJHzIRmx39TKf0iWA,"1950, Miri, 98000",Asian Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9887,Zen - Fusion Japanese Restaurant and Bistro,ChIJu_Ig-3VJHzIRdhcMGDU-sqU,"1948-1949, Miri, 98000",Asian Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9888,Go-Ye BBQ & Bar,ChIJOQZhirpJHzIRlRr_q-SrW0g,"1949, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9889,Nasi Lemak Bamboo,ChIJK0TyvGNJHzIRcqg1EC3n2HU,"1875, Miri, 98000",Asian Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9890,Pak Jep Cafe,ChIJEf9kLwBJHzIRWOHlmJhSl88,"2100, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9891,Afterwerk,ChIJiSr44pJJHzIRiJIeuhiYrU4,"1867, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9892,ISHI Japanese Restaurant,ChIJbX0MjchPHzIRycHgmMgDvWg,"2046, Miri, 98000",Restaurant,,,"Sushi, Ramen, Tempura, Teriyaki",Unique dining experience worth exploring!,Processed
9893,Lepak Sama Nanyang Cafe,ChIJs14nCABJHzIRazG7Pja7xAY,"2012, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9894,Gangnam BBQ Buffet,ChIJnd6fiyhPHzIRr5bNrfW-nq4,"2010, Miri, 98000",Restaurant,,,"Korean BBQ, Kimchi, Bibimbap, Bulgogi",Unique dining experience worth exploring!,Processed
9895,Chua Cafe - Hong Kong Recipe,ChIJbfu7WshIHzIRvuNFLac-Ytw,"2015, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9896,Secret Cuisine,ChIJl3p4AIBJHzIRIyIn9JO4DM8,"1998, Jalan Marina Utama, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9897,Auntea Kopitiam (est. 2022),ChIJtagp-1hJHzIRLKUmI3fav9A,"1868, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9898,Grandpa Homemade Noodle,ChIJ2YLhm8lIHzIRl6Nub5jf7jY,"1903, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9899,Malatang,ChIJwcp0khJJHzIRIMwg-T270Zg,"1884, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9900,Marina Bay Seafood Restaurant,ChIJC557SwBJHzIRV3DMywxziUQ,"2242, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9901,Golden Mookata Bar-B-Q,ChIJVVWlQchIHzIRquSeXhc0ixg,"2024, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9902,Chef Wong's Chicken Rice,ChIJ1RvpQchIHzIRQ4cnDy66LTU,"2023, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9903,Ban Hup 1951 Cafe,ChIJLxsEdO9JHzIRPrDVbVO9cCc,"2006, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9904,Tea Woks Cafe,ChIJB0zJ_YpJHzIRuRsKCnokLOI,"2002, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9905,Ang’s Roasted Eatery,ChIJwTfq_ExJHzIRdr7mOCoqh1A,"2043, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9906,ET,ChIJ6YgeRRlJzDERiW3EY6pc8dk,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9907,Kedai Mak Fitri,ChIJ8UAN1j9LzDERzfKbh6p9vec,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9908,Restoran Muara,ChIJ_d8yMYdOHzIRpgxnO2RFUbw,"3085, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9909,Noor Kitchen,ChIJ3d9p2pxPHzIRcVQJ-EAe1LM,"3094, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9910,Najua Cafe,ChIJF98-yBJOHzIR99QodHj4vgc,"5596, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9911,Mak Lena Cafe,ChIJbYzWFLJPHzIR3o02KD1nzqU,"5591, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9912,Sara-Bif Butcher Shop & Western Grill,ChIJj_OyDdxPHzIR07hEfWYoDKI,"6077-6079, Miri, 98100",Restaurant,,,"Grilled Steak, Fish & Chips, Pasta, Burger",Unique dining experience worth exploring!,Processed
9913,Toast House,ChIJD2Ark8hRHzIRZVApoVvbxdA,"6259, Jalan Maigold, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9914,Rasa Malaya Cafe,ChIJJ0hyPsi1zTER3xUqpiEx2vA,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
9915,Lou Wai Lou Restaurant,ChIJ5es5ochOHzIRur8xJ_JmePg,"2236-2239, Lorong Firuz, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9916,Pujut One Cafe,ChIJW4uVG_JOHzIRQ7-VT5DsANQ,"1198, Jalan Epal 2, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9917,Restoran Pudu City,ChIJI3q7SCg3zDERV9Zerxlc2eI,"346, Jalan Pudu",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9918,Plant A Seed,ChIJfQUQyCvBSjARnhGqbKn7aoo,"72-1-29, Arena Curve",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9919,One Food Street,ChIJuYfojXtPHzIRWzhLAyGntgM,"10213, Jalan Kampung Pangkalan, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9920,Xian Jin Cafe,ChIJob6Q6kZOHzIR5fFOhlKtqhw,"2199, Jalan Pujut 7C, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9921,Fook Hai Food Centre,ChIJ0QHsy0ZOHzIRxJ_GtB4Z-EA,"2181, Jalan Pujut 7D, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9922,Food Heaven Seafood Restaurant,ChIJM8I6W21OHzIRk7WPEMvqATo,"5611-5612, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9923,aBui Western Kitchen,ChIJhURFHPtPHzIRxP-3da8wD4Q,"5557, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9924,aBui Chicken 2 (opening soon),ChIJkyhSEQBPHzIRdLHUlahUNV0,"7198, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9925,Bing Bing Rojak & Cafe,ChIJhx2AwHNPHzIR7xmFWNfwxGQ,"7170, Miri, 98100",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9926,Wondering Plan A Seafood,ChIJEfTDqbBJHzIRUCzkeexx-FI,"12337-1-2, Jalan Airport, Miri, 98000",Restaurant,,,"Chili Crab, Steamed Fish, Grilled Prawns",Fresh seafood prepared with local cooking styles - must try!,Processed
9927,湘约私房菜,ChIJY1hqOpZJHzIR0WUw5xMlZ40,"1377-1378, Jalan Kubu, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9928,Blue Angel Cafe,ChIJvwwUeaC0zTER6l08OINlRxI,,Cafe,,,"Coffee, Pastries, Sandwiches, Cakes",Unique dining experience worth exploring!,Processed
9929,Esplanade Cafe,ChIJI2VdCBhLzDERYxzxZU7qIqs,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9930,Bekenu Home Cafe,ChIJgcFgZe8hHzIRbuz6inlPDeY,,Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9931,Sha Sha Restaurant,ChIJnWH4AwC1zTERXSn3QLOvMiE,,Indian Restaurant,,,"Biryani, Roti Canai, Fish Curry, Tandoori",Rich aromatic spices and authentic Indian flavors - spice lovers paradise!,Processed
9932,Shema Cafe,ChIJ268P6P1JzDERttBD7hcVDo8,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9933,Al Shahmey Cafe,ChIJPcyg4M43HzIRDRFXnnTZCjk,,Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9934,Selera Bohor,ChIJO9G5RvpaSzARPDMoNmCErjg,,Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
9935,Jeliro D'Kelate,ChIJyebvTBtJHzIR8BedoCYRQg4,"14562, Jalan Airport, Miri, 98000",Malaysian Restaurant,,,"Nasi Lemak, Rendang, Char Kway Teow, Laksa",Authentic Malaysian flavors with traditional spices - perfect for local food lovers!,Processed
9936,Shun Fong Cafe,ChIJZz-46CNIHzIRBrEZMqWaYIU,"10623-10624, Jalan Airport, Miri, 98000",Chinese Restaurant,,,"Dim Sum, Char Siu, Wonton Noodles, Roast Duck",Traditional Chinese cuisine with Malaysian influences - great for family dining!,Processed
9937,Old Taste Ice Kacang and Rojak Warisan,ChIJgeEsEF9IHzIRjfMRd-jSPnE,"8527, Jalan Luak Bay, Miri, 98000",Restaurant,,,Local Specialties,Unique dining experience worth exploring!,Processed
